Event ID,Source Lat,Source Lon,Receiver Lat,Receiver Lon,Depth (km),Magnitude,Epicentral Distance (deg),Shadow Zone,Ray Parameter,Max Amplitude,RMS Amplitude,Dominant Frequency (Hz),Trace Duration (s)
1,82.78289139910137,-111.4503600714987,-41.924725262467675,78.3018192351625,48.096810011103706,4.194086124474401,139.02367675002247,1,0.0,6.03949e-05,5.881047e-06,0.01666222340709144,1799.984
2,-62.35550981178544,18.394293375492026,49.80596647118762,-64.79433922413959,14.319475819975768,2.261931250587325,129.87753959525645,1,0.0625,0.00016011337,1.9947449e-05,0.06720430107526881,1799.984
3,-46.20516097764314,101.86817061527222,1.487450340334746,131.92977840360953,37.45814300887142,3.3371600713417013,54.54622626705848,0,390.69334018590746,0.00018841258,5.894298e-05,0.03721229894250422,1799.984
4,45.91187856128434,-177.6324354926082,-26.848935304484947,-65.80762529365107,5.401497646962039,3.4801184499856372,123.72309136445764,1,0.0625,0.00026462527,3.535955e-05,0.1121923042744157,1799.984
5,-6.783724846727054,-8.050830008470172,-48.1931790093943,114.67516640756224,13.692347498265766,2.8275412728807527,105.65352143692752,1,0.0625,0.00013662182,2.4979638e-05,0.03276903936727983,1799.984
6,-22.02491258670844,178.43628171346433,-10.102831767529679,10.745257361436643,81.81160691134525,3.754020585016689,145.67829394048178,0,0.0,6.572225e-05,5.3084545e-06,0.0,1799.984
7,-89.96605458111249,139.17855588909077,45.976434955112836,-145.42526509098303,5.264808302113577,3.8930493938439685,135.96786642354425,1,0.0,0.00031355867,2.9435078e-05,0.07109215320359015,1799.984
8,-70.05397767743841,-117.79258548571997,-63.92668216234689,135.53554872608402,77.394375280697,3.2836229566340664,36.74210560648146,0,402.44874402715266,9.476718e-05,2.3882149e-05,0.023882520216831064,1799.984
9,-43.32702077975593,25.497377039402835,25.684813592967586,-109.98031265628694,33.41606606561259,2.7016820253479734,139.8895499360994,1,0.0,0.0001254355,1.0309053e-05,0.029436594685861548,1799.984
10,77.10245950772517,134.6288632056823,-10.026711282288204,-113.08143521903303,61.62048661847264,2.203482556721362,104.65998030699947,1,0.0625,4.56326e-05,7.1968198e-06,0.026659557451346308,1799.984
11,-87.9355920995886,59.236494035803645,-71.91358054717075,48.469047114434176,5.275789863785252,4.447601719445041,16.062834893245128,0,412.0658594687731,0.007579904,0.0011001067,0.07331378299120234,1799.984
12,80.41630883379625,178.86347720687854,67.73262717645608,109.46606179576423,33.39116039135508,4.4957882598553685,20.81877135254503,0,410.6856667368686,0.000657402,0.0001518959,0.040544743623922505,1799.984
13,29.433280325097527,-162.13812159423873,-88.07620404864689,14.563645444038457,15.569986289100191,2.8014396755479902,121.35382695954553,1,0.0625,0.00013418982,2.1944943e-05,0.03110281702657069,1799.984
14,63.10287827354415,101.70744072568988,56.22531092199043,47.18302405943675,2.3087874253331364,3.1148768740467627,27.46840459972348,0,408.50809477488866,0.001748753,0.00030928536,0.04332178085843775,1799.984
15,-29.99381654616505,-169.4981454770138,31.283412472383418,163.82774297091242,30.365973233131893,2.6056366238998034,66.3092406235251,0,324.76859847146693,0.00019662397,3.975822e-05,0.03054740957966764,1799.984
16,-18.975298999416538,-151.54332969042207,52.05371049654599,-118.66162546838595,39.849313070895896,2.7534224427741347,76.58938833545662,0,242.52990786504694,0.000120180215,2.6637148e-05,0.023327112769928018,1799.984
17,-54.94731728425447,-136.0894744725138,15.455267202928667,-176.95235608776457,30.433835812430633,2.6603811236536767,78.43416325801411,0,240.57101712942998,0.00015307493,2.4124254e-05,0.034990669154892025,1799.984
18,-56.31000886811781,56.90715297731725,61.670811145387205,116.68413099687996,73.85229932320773,2.0710441049470885,126.86289191663084,1,0.0625,4.4506298e-05,6.9780026e-06,0.01943926064160668,1799.984
19,17.059276427738723,155.58090529171136,75.41604281278998,-112.686352567816,46.45626796570671,3.3981561205231468,73.9408255541145,0,245.0649859559656,0.00020298602,3.0251329e-05,0.02554874255754021,1799.984
20,-28.595927342921634,165.41289650363473,59.43990530589318,9.109546396609318,23.70999508835484,2.5300905941535516,145.17771401554114,0,0.0,0.0002721629,2.2734674e-05,0.046654225539856035,1799.984
